热河老面	小吃快餐	26	4	82	8.5	8.2	8.2	政本路135号	2002/5/29
麻喜烧肉韩国烤肉	韩国料理	81	4.5	996	8.6	8.6	8.7	五角场邯郸路600号第一食品商店五楼	2002/5/30
上海财大豪生大酒店-碧丽斯全日制餐厅	西餐	53	4	11	7.4	7.8	7.6	武东路188号上海财大豪生大酒店1楼	2002/5/31
金米箩大酒店	本帮江浙菜	183	4	1507	7.8	8.3	7.7	翔殷路1088号凯迪金融大厦4楼	2002/6/1
火里香碳烤羊腿	烧烤	99	4.5	363	8.5	8	8.4	国济路28号	2002/6/2
JOLIE.HOUSE	韩国料理	81	5	2612	9.1	9.1	9.1	国庠路43号	2002/6/3
湘亦浓粉面馆	小吃快餐	18	4	25	7.7	7.7	7.7	国和路61-2	2002/6/4
江南私房菜	本帮江浙菜	13	3	27	6.2	6.3	6.4	政立路315号如家江湾体育场店内	2002/6/5
好兄弟	本帮江浙菜	56	3.5	341	7.4	7	6.8	国定路610号	2002/6/6
长沙米粉	小吃快餐	20	4	50	8.1	8.2	8.3	国定路334号	2002/6/7
老渝城正宗重庆老火锅	火锅	121	5	1425	9	9	8.9	政通路132号2楼	2002/6/8
萨莉亚	西餐	31	3.5	131	7.5	7.6	7.1	国定路333号三号湾广场	2002/6/9
悸动台湾正宗烧仙草	面包甜点	9	3.5	36	7.3	7.1	7.2	国权路303号	2002/6/10
桐庐原生态农庄	本帮江浙菜	87	3.5	112	7.5	7.4	7.1	政立路245号	2002/6/11
新粤汇	粤菜	43	3.5	30	7.4	7.3	7.3	邯郸路112号	2002/6/12
鲜粥道	小吃快餐	12	3.5	7	7.2	7	7	国顺路126号	2002/6/13
尚滋味龙虾	小吃快餐	54	4	78	8.3	8.3	8.6	国和路919号	2002/6/14
萨莉亚	西餐	39	3.5	658	7	6.7	6.5	政通路189号特力时尚汇楼3楼	2002/6/15
鑫辉新厨坊	其他	110	4	23	8.1	8.6	8.2	酒上海市杨浦区黄兴路1599号新纪元国际广场三楼	2002/6/16
香港凤城	粤菜	74	4.5	172	8.7	9.1	9	大学路313号	2002/6/17
朱双鸿骨汤面	小吃快餐	10	3.5	35	7.1	6.8	6.9	国宾路83号	2002/6/18
韩石亭	韩国料理	32	5	158	9	8.5	8.9	国权路279号	2002/6/19
老村庄野鱼倌	本帮江浙菜	80	3.5	98	7.7	7	7	国权路179号	2002/6/20
来一碗	小吃快餐	19	3.5	9	7.3	7	7.5	黑山路217号	2002/6/21
雕刻时光咖啡馆	咖啡厅	38	3.5	28	7.2	7.6	7.4	国通路133号104-105室	2002/6/22
左庭右院鲜牛肉火锅	火锅	124	5	1278	9.2	9.1	9.1	政通路189号万达特力时尚汇4楼	2002/6/23
拿渡麻辣香锅	川菜	71	4	606	8.2	8.1	7.9	政通路189号特力时尚汇四层	2002/6/24
奶盖贡茶	面包甜点	16	4.5	2260	8.9	8.8	8.8	政通路189号万达商业广场特力时尚汇1楼	2002/6/25
做人最要紧的是开心面馆	小吃快餐	21	4	379	7.9	7.5	7.6	国宾路99号	2002/6/26
Cheersin	其他	36	4.5	167	8.5	7.8	8.2	大学路129号	2002/6/27
人在茶在之南洋茶铺	面包甜点	12	4.5	232	8.9	8.6	8.9	五角场国济路28号-1	2002/6/28
江边城外烤全鱼	川菜	76	5	5886	9.1	9	9	淞沪路8号百联又一城6楼24号铺	2002/6/29
爱茜茜里意大利健康冰淇淋	面包甜点	32	4.5	2234	8.6	8.4	8.5	淞沪路8号百联又一城B1楼-09室	2002/6/30
麻省理功-深海烤鱼	川菜	80	4.5	7628	9	9	9	邯郸路600号万达广场第一食品5楼504室	2002/7/1
四季说草本饮品	面包甜点	14	4	78	8	8.1	8.1	邯郸路385号	2002/7/2
豪大大鸡排	小吃快餐	11	3.5	17	7.5	7.3	7.4	凉城路喜士多旁	2002/7/3
西尔咖啡	咖啡厅	42	4.5	1662	8.5	8	8.2	政民路370号	2002/7/4
G排台湾大鸡排	小吃快餐	15	3.5	27	7.3	7.2	7.4	四平路2067	2002/7/5
SaleKitchen&Bar	西餐	76	4	40	8.4	9	8.8	国安路758弄、星汇广场11幢30号	2002/7/6
巴蜀餐厅	川菜	33	3.5	125	7.1	5.8	6.3	政通路16号	2002/7/7
鲜府老匠火锅美蛙鱼头火锅	火锅	82	5	2334	9	8.9	8.9	黄兴路1737号九隆坊3楼	2002/7/8
鸡排玩家	小吃快餐	10	3.5	20	7.1	6.8	7.1	国权路342号	2002/7/9
Hi!那甜甜的DIY创意手工坊	面包甜点	86	5	66	9.1	9.1	9.1	三湘未来海岸淞沪路民府路（国霞路399弄2号）	2002/7/10
正宗四川一品天下火锅	火锅	65	4	84	8.3	8.3	8.4	国顺东路800号西楼113	2002/7/11
久留米	小吃快餐	20	3	51	6.7	6.6	6.3	邯郸路600号万达广场第一食品店1楼	2002/7/12
PaPaPub	其他	50	4.5	17	8.8	8.8	8.8	政通路315号	2002/7/13
东方既白	小吃快餐	27	3.5	1478	7.2	7.4	7.2	邯郸路600号万达商业广场B1楼A-02号	2002/7/14
武东川菜馆	川菜	24	4	95	7.4	6.9	7	武东路15号	2002/7/15
男孩pizza	西餐	25	3	24	6.9	6.8	7.1	邯郸路385号	2002/7/16
避风塘	粤菜	81	4.5	7506	8.7	8.4	8.2	邯郸路600号万达商业广场1楼	2002/7/17
复旦皇冠假日酒店融咖啡	自助餐	148	4	411	7.1	8.2	7.7	邯郸路199号复旦皇冠假日酒店1楼	2002/7/18
MILLIONSOFMILKSHAKES	面包甜点	41	3.5	681	7.7	7.8	7.7	邯郸路600号万达商业广场步行街D-31	2002/7/19
老北京羊蝎子火锅	火锅	94	4.5	530	8.7	8	8.4	国权路151号	2002/7/20
可浓	面包甜点	7	3.5	17	7.2	6.9	7.2	武东路80号	2002/7/21
镇江锅盖面	本帮江浙菜	14	3.5	34	7.6	7.2	7.6	杨浦区 政通路131号(近国济路)	2002/7/22
零食多	小吃快餐	29	3	12	6.7	6.7	6.6	吉浦路518号	2002/7/23
海岸线香辣蟹	蟹宴	93	4.5	382	8.9	8	8.1	国济路28号	2002/7/24
阿猫一条鱼	小吃快餐	23	3.5	270	7.4	6.2	7.1	国顺路587号	2002/7/25
风波庄	其他	56	3.5	671	7	7.1	7.3	政民路522号	2002/7/26
粤潮粥店	小吃快餐	21	3.5	89	6.9	6.8	6.9	邯郸路600号万达商业广场第一食品2楼	2002/7/27
君越咖啡	咖啡厅	34	3.5	13	7.4	7.2	6.9	国和路67号	2002/7/28
村夫烤鱼	川菜	42	3.5	41	7.5	7.2	7.4	三门路356号	2002/7/29
宝寿司	日本菜	41	4	1278	7.6	5.6	6.6	国济路16号	2002/7/30
久一便当	小吃快餐	19	3	30	6.9	6.5	6.5	政旦东路2号2楼	2002/7/31
豫申园城隍庙小吃世界	小吃快餐	18	3.5	52	7.2	7.1	7.2	政旦东路32号五角场	2002/8/1
国济大排档	海鲜	67	3.5	343	7.4	7	7.1	黄桦路306	2002/8/2
农丰园土菜馆	本帮江浙菜	46	3.5	21	7.2	7.1	7.1	政立路507号	2002/8/3
吉祥馄饨	小吃快餐	13	3.5	39	7.2	7.1	7.1	三门路666号	2002/8/4
赛百味subway	西餐	19	3.5	27	7.8	7.8	7.7	国权北路1688弄B7一楼	2002/8/5
Goeast	咖啡厅	31	3.5	15	7.4	7.6	7.6	政民路194-196号	2002/8/6
皇城根儿涮羊肉	火锅	98	4	396	7.7	7.5	7.5	国权路171号	2002/8/7
Helen'sRestaurant	西餐	71	4	125	7.8	7.6	7.4	武川路49-51号	2002/8/8
CoCo都可茶饮	面包甜点	10	4	301	7.7	7.3	7.5	国定路489号	2002/8/9
侬好蛙干锅传奇	川菜	74	4.5	7145	8.3	7.4	7.7	邯郸路395号	2002/8/10
汉堡王	小吃快餐	31	4	4207	7.9	7.9	7.7	政通路189号万达商业广场特力屋1-2层	2002/8/11
水货SEAHOOD	本帮江浙菜	102	4.5	12708	8.2	8.8	8.8	政通路189号特力时尚汇1楼	2002/8/12
McCafé	咖啡厅	26	3.5	23	7.2	7.1	7.2	邯郸路600号万达广场B1楼A-05号铺	2002/8/13
老妈米线	小吃快餐	33	4	1645	7.6	7.6	7.5	黄兴路1737号九隆坊1楼	2002/8/14
松饼假日	西餐	60	4	1291	7.7	8.3	7.6	大学路289号	2002/8/15
翔殷路夫妻夜宵档	小吃快餐	5	3.5	20	7.2	7	7.2	翔殷路高架旁	2002/8/16
华顶巫山烤全鱼	川菜	54	4	494	7.8	7.1	7.5	国定路485弄6号2楼	2002/8/17
速美黄焖鸡米饭	小吃快餐	17	4.5	31	8.4	8.1	8.4	四平路1967号	2002/8/18
阿宝牛气冲天-杨浦店	火锅	91	4.5	347	8.8	8.8	8.7	黄兴路1616号	2002/8/19
龙心坊	小吃快餐	15	3.5	642	6.4	5.8	5.8	国济路新江湾体育场3号	2002/8/20
CafeMin's	咖啡厅	38	4	18	7.9	7.9	7.9	政立路477号同和国际大厦A307单元	2002/8/21
周黑鸭	小吃快餐	32	5	660	9	8.9	8.8	上海市杨浦区政通路112号	2002/8/22
老北京涮羊肉	火锅	82	3.5	171	7	6.8	7.2	国权路177号	2002/8/23
匆匆那年之青葱岁月	其他	84	5	6760	8.9	9	9	政通路189号万达广场特力时尚汇2楼	2002/8/24
威海渔村	海鲜	91	5	1085	9.2	8.1	9	国权路117-3号	2002/8/25
东北人家	东北菜	46	3.5	66	7.1	6.8	6.9	国定东路77号	2002/8/26
卡芙瑞泡芙	面包甜点	15	4	165	8.2	8.2	8.1	国权路104号	2002/8/27
来可海鲜烧烤自助餐厅	自助餐	96	5	988	9	9.1	9.1	国定路506号天云坊	2002/8/28
小天鹅麻辣烫	小吃快餐	16	3.5	26	7.5	7.5	7.5	政通路112号	2002/8/29
熏肉卷	小吃快餐	5	3.5	132	6.6	5.8	5.9	国定路602号	2002/8/30
侗湘传奇	湘菜	79	4.5	780	8.4	8.4	8.6	三门路497号	2002/8/31
新旺茶餐厅	粤菜	83	4	10036	7.5	7.1	7.1	邯郸路660号万达商业广场食品一店3楼	2002/9/1
超比馒头专卖	小吃快餐	2	3	27	6.6	6.3	6.4	国定路2138号	2002/9/2
宝寿司	日本菜	39	4	2589	7.8	5.8	7	国顺路591号	2002/9/3
鲨鱼先生的博物馆	西餐	91	5	1112	9	9.2	9.1	邯郸路600号万达商业广场1楼(近特力时尚汇)	2002/9/4
很高兴遇见你	其他	103	4.5	11428	8.6	9.1	9.1	政通路189号万达广场特力时尚汇5楼	2002/9/5
味千拉面	日本菜	45	5	1326	9.1	9	9	"淞沪路8号百联又一城7楼14,15,16室"	2002/9/6
宫廷月亮虾饼	小吃快餐	15	3.5	1014	7.8	7.5	7.8	五角场邯郸路587号	2002/9/7
炭宝贝	日本菜	84	4.5	1069	8.6	8.2	8.7	国定路333号三号湾广场1楼	2002/9/8
